Username,StudentIDNumber,GroupCode
68301010001,68301010001,683010101
68301010002,68301010002,683010101
68301010003,68301010003,683010101
68301010004,68301010004,683010101
68301010005,68301010005,683010101
68301010006,68301010006,683010101
68301010007,68301010007,683010101
68301010008,68301010008,683010101
68301010009,68301010009,683010101
68301010010,68301010010,683010101
68301010011,68301010011,683010101
68301010012,68301010012,683010101
68301010013,68301010013,683010101
68301010014,68301010014,683010101
68301010015,68301010015,683010101
68301010016,68301010016,683010101
68301010017,68301010017,683010101
68301010018,68301010018,683010101
68301010019,68301010019,683010101
68301010020,68301010020,683010101
68301010021,68301010021,683010101
68301010022,68301010022,683010101
68301010023,68301010023,683010102
68301010024,68301010024,683010102
68301010025,68301010025,683010102
68301010026,68301010026,683010102
68301010027,68301010027,683010102
68301010028,68301010028,683010102
68301010029,68301010029,683010102
68301010030,68301010030,683010102
68301010031,68301010031,683010102
68301010032,68301010032,683010102
68301010033,68301010033,683010102
68301010034,68301010034,683010102
68301010035,68301010035,683010102
68301010036,68301010036,683010102
68301010037,68301010037,683010102
68301010038,68301010038,683010102
68301010039,68301010039,683010102
68301010040,68301010040,683010102
68301010041,68301010041,683010102
68301010042,68301010042,683010102
68301010043,68301010043,683010102
68301020001,68301020001,683010201
68301020002,68301020002,683010201
68301020003,68301020003,683010201
68301020004,68301020004,683010201
68301020005,68301020005,683010201
68301020006,68301020006,683010201
68301020007,68301020007,683010201
68301020008,68301020008,683010201
68301020009,68301020009,683010201
68301020010,68301020010,683010201
68301020011,68301020011,683010201
68301020012,68301020012,683010201
68301020013,68301020013,683010201
68301020014,68301020014,683010201
68301020015,68301020015,683010201
68301020016,68301020016,683010201
68301020017,68301020017,683010201
68301020018,68301020018,683010201
68301020019,68301020019,683010202
68301020020,68301020020,683010202
68301020021,68301020021,683010202
68301020022,68301020022,683010202
68301020023,68301020023,683010202
68301020024,68301020024,683010202
68301020025,68301020025,683010202
68301020026,68301020026,683010202
68301020027,68301020027,683010202
68301020028,68301020028,683010202
68301020029,68301020029,683010202
68301020030,68301020030,683010202
68301020031,68301020031,683010202
68301020032,68301020032,683010202
68301020033,68301020033,683010202
68301020034,68301020034,683010203
68301020035,68301020035,683010203
68301020036,68301020036,683010203
68301020037,68301020037,683010203
68301020038,68301020038,683010203
68301020039,68301020039,683010203
68301020040,68301020040,683010203
68301020041,68301020041,683010203
68301020042,68301020042,683010203
68301020043,68301020043,683010203
68301020044,68301020044,683010203
68301020045,68301020045,683010203
68301020046,68301020046,683010204
68301020047,68301020047,683010204
68301020048,68301020048,683010204
68301020049,68301020049,683010204
68301020050,68301020050,683010204
68301020051,68301020051,683010204
68301020052,68301020052,683010204
68301020053,68301020053,683010204
68301020054,68301020054,683010204
68301020055,68301020055,683010204
68301020056,68301020056,683010204
68301020057,68301020057,683010204
68301020058,68301020058,683010204
68301020059,68301020059,683010204
68301020060,68301020060,683010204
68301020061,68301020061,683010204
68301020062,68301020062,683010204
68301020063,68301020063,683010204
68301030001,68301030001,683010301
68301030002,68301030002,683010301
68301030003,68301030003,683010301
68301030004,68301030004,683010301
68301030005,68301030005,683010301
68301030006,68301030006,683010301
68301030007,68301030007,683010301
68301030008,68301030008,683010301
68301030009,68301030009,683010301
68301030010,68301030010,683010301
68301030011,68301030011,683010301
68301030012,68301030012,683010301
68301030013,68301030013,683010301
68301030014,68301030014,683010301
68301030015,68301030015,683010301
68301030016,68301030016,683010301
68301030017,68301030017,683010301
68301030018,68301030018,683010301
68301030019,68301030019,683010301
68301040001,68301040001,683010401
68301040002,68301040002,683010401
68301040003,68301040003,683010401
68301040004,68301040004,683010401
68301040005,68301040005,683010401
68301040006,68301040006,683010401
68301040007,68301040007,683010401
68301040008,68301040008,683010401
68301040009,68301040009,683010401
68301040010,68301040010,683010401
68301040011,68301040011,683010401
68301040012,68301040012,683010401
68301040013,68301040013,683010401
68301040014,68301040014,683010401
68301040015,68301040015,683010401
68301040016,68301040016,683010401
68301040017,68301040017,683010401
68301040018,68301040018,683010401
68301040019,68301040019,683010401
68301040020,68301040020,683010401
68301040021,68301040021,683010401
68301040022,68301040022,683010402
68301040023,68301040023,683010402
68301040024,68301040024,683010402
68301040025,68301040025,683010402
68301040026,68301040026,683010402
68301040027,68301040027,683010402
68301040028,68301040028,683010402
68301040029,68301040029,683010402
68301040030,68301040030,683010402
68301040031,68301040031,683010402
68301040032,68301040032,683010402
68301040033,68301040033,683010402
68301040034,68301040034,683010402
68301040035,68301040035,683010402
68301040036,68301040036,683010402
68301040037,68301040037,683010402
68301040038,68301040038,683010402
68301040039,68301040039,683010402
68301040040,68301040040,683010402
68301040041,68301040041,683010402
68301040042,68301040042,683010403
68301040043,68301040043,683010403
68301040044,68301040044,683010403
68301040045,68301040045,683010403
68301040046,68301040046,683010403
68301040047,68301040047,683010403
68301040048,68301040048,683010403
68301040049,68301040049,683010403
68301040050,68301040050,683010403
68301040051,68301040051,683010403
68301040052,68301040052,683010403
68301040053,68301040053,683010403
68301040054,68301040054,683010403
68301040055,68301040055,683010403
68301040056,68301040056,683010403
68301040057,68301040057,683010403
68301040058,68301040058,683010403
68301040059,68301040059,683010403
68301040060,68301040060,683010403
68301040061,68301040061,683010403
68301040062,68301040062,683010404
68301040063,68301040063,683010404
68301040064,68301040064,683010404
68301040065,68301040065,683010404
68301040066,68301040066,683010404
68301040067,68301040067,683010404
68301040068,68301040068,683010404
68301040069,68301040069,683010404
68301040070,68301040070,683010404
68301040071,68301040071,683010404
68301040072,68301040072,683010404
68301040073,68301040073,683010404
68301040074,68301040074,683010404
68301040075,68301040075,683010404
68301040076,68301040076,683010404
68301040077,68301040077,683010404
68301040078,68301040078,683010404
68301040079,68301040079,683010404
68301040080,68301040080,683010404
68301040081,68301040081,683010404
68301040082,68301040082,683010405
68301040083,68301040083,683010405
68301040084,68301040084,683010405
68301040085,68301040085,683010405
68301040086,68301040086,683010405
68301040087,68301040087,683010405
68301040088,68301040088,683010405
68301040089,68301040089,683010405
68301040090,68301040090,683010405
68301040091,68301040091,683010405
68301040092,68301040092,683010405
68301040093,68301040093,683010405
68301040094,68301040094,683010405
68301040095,68301040095,683010405
68301040096,68301040096,683010405
68301040097,68301040097,683010405
68301040098,68301040098,683010405
68301040099,68301040099,683010405
68301040100,68301040100,683010405
68301040101,68301040101,683010405
68301040102,68301040102,683010405
68301040103,68301040103,683010405
68301040104,68301040104,683010406
68301040105,68301040105,683010406
68301040106,68301040106,683010406
68301040107,68301040107,683010406
68301040108,68301040108,683010406
68301040109,68301040109,683010406
68301040110,68301040110,683010406
68301040111,68301040111,683010406
68301040112,68301040112,683010406
68301040113,68301040113,683010406
68301040114,68301040114,683010406
68301040115,68301040115,683010406
68301040116,68301040116,683010406
68301040117,68301040117,683010406
68301040118,68301040118,683010406
68301040119,68301040119,683010406
68301040120,68301040120,683010406
68301040121,68301040121,683010406
68301040122,68301040122,683010406
68301040123,68301040123,683010406
68301040124,68301040124,683010406
68301050001,68301050001,683010501
68301050002,68301050002,683010501
68301050003,68301050003,683010501
68301050004,68301050004,683010501
68301050005,68301050005,683010501
68301050006,68301050006,683010501
68301050007,68301050007,683010501
68301050008,68301050008,683010501
68301050009,68301050009,683010501
68301050010,68301050010,683010501
68301050011,68301050011,683010501
68301050012,68301050012,683010501
68301050013,68301050013,683010501
68301050014,68301050014,683010501
68301050015,68301050015,683010501
68301050016,68301050016,683010501
68301050017,68301050017,683010501
68301050018,68301050018,683010501
68301050019,68301050019,683010501
68301050020,68301050020,683010501
68301050021,68301050021,683010502
68301050022,68301050022,683010502
68301050023,68301050023,683010502
68301050024,68301050024,683010502
68301050025,68301050025,683010502
68301050026,68301050026,683010502
68301050027,68301050027,683010502
68301050028,68301050028,683010502
68301050029,68301050029,683010502
68301050030,68301050030,683010505
68301050031,68301050031,683010505
68301050032,68301050032,683010505
68301050033,68301050033,683010505
68301050034,68301050034,683010505
68301050035,68301050035,683010505
68301050036,68301050036,683010505
68301050037,68301050037,683010505
68301050038,68301050038,683010505
68301050039,68301050039,683010505
68301050040,68301050040,683010505
68301050041,68301050041,683010505
68301050042,68301050042,683010505
68301050043,68301050043,683010505
68301050044,68301050044,683010505
68301050045,68301050045,683010505
68301050046,68301050046,683010505
68301050047,68301050047,683010505
68301050048,68301050048,683010505
68301050049,68301050049,683010505
68301050050,68301050050,683010505
68301060001,68301060001,683010601
68301060002,68301060002,683010601
68301060003,68301060003,683010601
68301060004,68301060004,683010601
68301060005,68301060005,683010601
68301060006,68301060006,683010601
68301060007,68301060007,683010601
68301060008,68301060008,683010601
68301060009,68301060009,683010601
68301060010,68301060010,683010601
68301060011,68301060011,683010601
68301060012,68301060012,683010601
68301060013,68301060013,683010601
68301100001,68301100001,683011001
68301100002,68301100002,683011001
68301100003,68301100003,683011001
68301100004,68301100004,683011001
68301100005,68301100005,683011001
68301100006,68301100006,683011001
68301100007,68301100007,683011001
68301100008,68301100008,683011001
68301100009,68301100009,683011001
68301100010,68301100010,683011001
68301100011,68301100011,683011001
68301100012,68301100012,683011001
68301100013,68301100013,683011001
68301100014,68301100014,683011001
68301100015,68301100015,683011001
68301100016,68301100016,683011001
68301100017,68301100017,683011001
68301100018,68301100018,683011001
68301100019,68301100019,683011001
68301100020,68301100020,683011001
68301180001,68301180001,683011801
68301180002,68301180002,683011801
68301180003,68301180003,683011802
68301180004,68301180004,683011802
68301180005,68301180005,683011802
68301180006,68301180006,683011802
68301200001,68301200001,683012001
68301200002,68301200002,683012001
68301200003,68301200003,683012001
68301200004,68301200004,683012001
68301200005,68301200005,683012001
68301200006,68301200006,683012001
68301200007,68301200007,683012001
68301200008,68301200008,683012001
68301200009,68301200009,683012001
68301200010,68301200010,683012001
68301200011,68301200011,683012001
68301200012,68301200012,683012001
68301200013,68301200013,683012001
68301200014,68301200014,683012001
68301200015,68301200015,683012001
68301200016,68301200016,683012001
68301200017,68301200017,683012001
68301200018,68301200018,683012001
68301200019,68301200019,683012001
68301200020,68301200020,683012001
68301200021,68301200021,683012001
68301200022,68301200022,683012001
68301200023,68301200023,683012001
68301200024,68301200024,683012002
68301200025,68301200025,683012002
68301200026,68301200026,683012002
68301200027,68301200027,683012002
68301200028,68301200028,683012002
68301200029,68301200029,683012002
68301200030,68301200030,683012002
68301200031,68301200031,683012002
68301200032,68301200032,683012002
68301200033,68301200033,683012002
68301200034,68301200034,683012002
68301200035,68301200035,683012002
68301200036,68301200036,683012002
68301200037,68301200037,683012002
68301200038,68301200038,683012002
68301200039,68301200039,683012002
68301200040,68301200040,683012002
68301200041,68301200041,683012002
68301200042,68301200042,683012002
68301200043,68301200043,683012002
68301200044,68301200044,683012002
68301200045,68301200045,683012002
68301200046,68301200046,683012002
68301200047,68301200047,683012004
68301200048,68301200048,683012004
68301200049,68301200049,683012004
68301200050,68301200050,683012004
68301200051,68301200051,683012004
68301200052,68301200052,683012004
68301200053,68301200053,683012004
68301200054,68301200054,683012004
68301200055,68301200055,683012004
68301200056,68301200056,683012004
68301200058,68301200058,683012005
68301200059,68301200059,683012005
68301200060,68301200060,683012005
68301200061,68301200061,683012005
68301200062,68301200062,683012005
68301200063,68301200063,683012005
68301200064,68301200064,683012005
68301200065,68301200065,683012005
68301200066,68301200066,683012005
68301200067,68301200067,683012005
68301200068,68301200068,683012005
68301200069,68301200069,683012005
68301200070,68301200070,683012005
68301200071,68301200071,683012005
68301200072,68301200072,683012005
68301200073,68301200073,683012005
68301200074,68301200074,683012005
68301200075,68301200075,683012005
68301200076,68301200076,683012005
68301200077,68301200077,683012005
68301200078,68301200078,683012005
68301200079,68301200079,683012005
68301200080,68301200080,683012006
68301200081,68301200081,683012006
68301200082,68301200082,683012006
68301200083,68301200083,683012006
68301200084,68301200084,683012006
68301200085,68301200085,683012006
68301200086,68301200086,683012006
68301200087,68301200087,683012006
68301200088,68301200088,683012006
68301200089,68301200089,683012006
68301200090,68301200090,683012006
68301200091,68301200091,683012006
68301200092,68301200092,683012006
68301200093,68301200093,683012006
68301200094,68301200094,683012006
68301200095,68301200095,683012006
68301200096,68301200096,683012006
68301200097,68301200097,683012006
68301200098,68301200098,683012006
68301200099,68301200099,683012006
68301200100,68301200100,683012006
68301270001,68301270001,683012701
68301270002,68301270002,683012701
68301270003,68301270003,683012701
68301270004,68301270004,683012701
68301270005,68301270005,683012701
68301270006,68301270006,683012701
68301270007,68301270007,683012701
68301270008,68301270008,683012701
68301270009,68301270009,683012701
68301270010,68301270010,683012701
68301270011,68301270011,683012701
68301270012,68301270012,683012701
68301270013,68301270013,683012701
68301270014,68301270014,683012701
68301270015,68301270015,683012701
68301270016,68301270016,683012701
68301270017,68301270017,683012701
68301270018,68301270018,683012701
68301270019,68301270019,683012701
68301270020,68301270020,683012701
68301270021,68301270021,683012702
68301270022,68301270022,683012702
68301270023,68301270023,683012702
68301270024,68301270024,683012702
68301270025,68301270025,683012702
68301270026,68301270026,683012702
68301270027,68301270027,683012702
68301270028,68301270028,683012702
68301270029,68301270029,683012702
68301270030,68301270030,683012703
68301270031,68301270031,683012703
68301270032,68301270032,683012703
68301270033,68301270033,683012706
68301270034,68301270034,683012706
68301270035,68301270035,683012706
68301270036,68301270036,683012706
68301270037,68301270037,683012706
68301270038,68301270038,683012707
68301270039,68301270039,683012707
68301270040,68301270040,683012707
68301430001,68301430001,683014301
68301430002,68301430002,683014301
68301430003,68301430003,683014301
68301430004,68301430004,683014301
68301430005,68301430005,683014301
68301430006,68301430006,683014301
68301430007,68301430007,683014301
68301430008,68301430008,683014301
68301430009,68301430009,683014301
68301430010,68301430010,683014301
68301430011,68301430011,683014301
68301430012,68301430012,683014301
68301430013,68301430013,683014301
68301430014,68301430014,683014301
68301430015,68301430015,683014301
68301430016,68301430016,683014301
68301430017,68301430017,683014301
68301430018,68301430018,683014301
68301430019,68301430019,683014301
68301430020,68301430020,683014301
68301430021,68301430021,683014302
68301430022,68301430022,683014302
68301430023,68301430023,683014302
68301430024,68301430024,683014302
68301430025,68301430025,683014302
68301430026,68301430026,683014302
68301430027,68301430027,683014302
68302010001,68302010001,683020101
68302010002,68302010002,683020101
68302010003,68302010003,683020101
68302010004,68302010004,683020101
68302010005,68302010005,683020101
68302010006,68302010006,683020101
68302010007,68302010007,683020101
68302010008,68302010008,683020101
68302010009,68302010009,683020101
68302010010,68302010010,683020101
68302010011,68302010011,683020101
68302010012,68302010012,683020101
68302010013,68302010013,683020101
68302010014,68302010014,683020101
68302010015,68302010015,683020101
68302010016,68302010016,683020101
68302010017,68302010017,683020101
68302010018,68302010018,683020101
68302010019,68302010019,683020101
68302010020,68302010020,683020101
68302010021,68302010021,683020102
68302010022,68302010022,683020102
68302010023,68302010023,683020102
68302010024,68302010024,683020102
68302010025,68302010025,683020102
68302010026,68302010026,683020102
68302010027,68302010027,683020102
68302010028,68302010028,683020102
68302010029,68302010029,683020102
68302010030,68302010030,683020102
68302010031,68302010031,683020102
68302010032,68302010032,683020102
68302010033,68302010033,683020102
68302010034,68302010034,683020102
68302010035,68302010035,683020102
68302010036,68302010036,683020102
68302010037,68302010037,683020102
68302010038,68302010038,683020102
68302010039,68302010039,683020102
68302010040,68302010040,683020102
68302010041,68302010041,683020103
68302010042,68302010042,683020103
68302010043,68302010043,683020103
68302010044,68302010044,683020103
68302010045,68302010045,683020103
68302010046,68302010046,683020103
68302010047,68302010047,683020103
68302010048,68302010048,683020103
68302010049,68302010049,683020103
68302010050,68302010050,683020104
68302010051,68302010051,683020104
68302010052,68302010052,683020104
68302010053,68302010053,683020104
68302010054,68302010054,683020104
68302010055,68302010055,683020104
68302010056,68302010056,683020104
68302010057,68302010057,683020104
68302010058,68302010058,683020104
68302010059,68302010059,683020104
68302010060,68302010060,683020104
68302010061,68302010061,683020104
68307010001,68307010001,683070101
68307010002,68307010002,683070101
68307010003,68307010003,683070101
68307010004,68307010004,683070101
68307010005,68307010005,683070101
68307010006,68307010006,683070101
68307010007,68307010007,683070101
68307010008,68307010008,683070101
68307010009,68307010009,683070101
68307010010,68307010010,683070101
68307010011,68307010011,683070101
68307010012,68307010012,683070101
68307010013,68307010013,683070101
68307010014,68307010014,683070102
68307010015,68307010015,683070102
68307010016,68307010016,683070102
68307010017,68307010017,683070102
68307010018,68307010018,683070102
68307010019,68307010019,683070102
68307010020,68307010020,683070102
68307010021,68307010021,683070102
68307010022,68307010022,683070102
68307010023,68307010023,683070102
68307010024,68307010024,683070102
68307010025,68307010025,683070102
68307010026,68307010026,683070102
68307010027,68307010027,683070102
68307010028,68307010028,683070102
68307010029,68307010029,683070102
68307010030,68307010030,683070102
68307010031,68307010031,683070102
68307010032,68307010032,683070102
68307010033,68307010033,683070102
68307010034,68307010034,683070102
68307010035,68307010035,683070103
68307010036,68307010036,683070103
68307010037,68307010037,683070103
68307010038,68307010038,683070103
68307010039,68307010039,683070103
68307010040,68307010040,683070103
68307010041,68307010041,683070103
68307010042,68307010042,683070103
68307010043,68307010043,683070103
68307010044,68307010044,683070103
68307010045,68307010045,683070103
68307010046,68307010046,683070103
68307010047,68307010047,683070103
68307010048,68307010048,683070103
68307010049,68307010049,683070103
68307010050,68307010050,683070103
68307010051,68307010051,683070103
68307010052,68307010052,683070103
68307010053,68307010053,683070103
68307020001,68307020001,683070201
