GroupCode,GroupName,LevelCode,MajorCode,AdvisorUsernames
672190101,สท.2/1,PVC2,21901,"parinyarat.ka,orawan.ka"
672190102,สท.2/2,PVC2,21901,"parinyarat.ka,orawan.ka"
672190103,สท.2/3,PVC2,21901,thanaporn.th
672190104,สท.2/4,PVC2,21901,thanaporn.th
672190901,ทค.2/1,PVC2,21909,"sureeporn.bo,noraset.si"
672190902,ทค.2/2,PVC2,21909,"sureeporn.bo,noraset.si"
672190903,ทค.2/3,PVC2,21909,"sureeporn.bo,noraset.si"
672190904,ทค.2/4,PVC2,21909,"sureeporn.bo,noraset.si"
